"lat","lng","tags","text","dur","file"
"28.8017","-17.9491","OD","astronautica","14min","sasko-astronauticaeclipse"
"28.8056","-17.9154","NID","amor del trueque en el monte de los vaqueros - dar, sembrar, siempre es el momento","9min30","guasi-huertatrueque"
"28.812","-17.9395","A","soy como la caña","3min","waut-canadulce"
"28.7742","-17.9419","A","banjo balance","4min10","waut-balance"
"28.7806","-17.9409","A","ting ting ting - a vivir !","6min","sergshei-avivir"
"28.7913","-17.9386","A","clear mind deep water breathe peacefuly","3min30","alma-deepwind"
"28.8007","-17.9455","A","grotte disciplinaire","2min40","luz-accordeonsonrisa_a"
"28.7998","-17.9466","A","lumière polyphonique","1min40","luz-accordeonsonrisa_b"
"28.6645","-17.7842","N","☯-Tai-Chi en Las Breñas
En la Sala Multiusos del Polideportivo Antonio García de San Pedro:

⏰ Horario de clases:
- Tai Chi Continuación - Lunes y Miércoles de 18:45 a 20:00 h.
- Tai Chi Principiantes - Lunes y Miércoles de 20:00 a 21:00 h.

Tai Chi La Palma ✆ 620 157 776 ✉ Contacto@TaiChiLaPalma.com ☯ www.TaiChiLaPalma.com — Somos instructores voluntarios que impartimos clases de Tai Chi sin ánimo de lucro.
Como muchos alumnos insisten en pagarnos, aceptamos un donativo de máx. 10 € mensuales para colaborar en gastos de publicidad y de internet. Gracias 🙏","",""
"28.6347","-17.8893","N","☯-Tai-Chi en el Valle de Aridane
Debajo del Mirador de Tajuya y la Parroquia La Sagrada Familia:

⏰ Horario de Clases:
- Tai Chi Continuación - Martes de 19:00 a 20:00 h.
- Tai Chi Principiantes - Martes de 20:00 a 21:00 h.

Tai Chi La Palma ✆ 620 157 776 ✉ Contacto@TaiChiLaPalma.com ☯ www.TaiChiLaPalma.com — Somos instructores voluntarios que impartimos clases de Tai Chi sin ánimo de lucro.
Como muchos alumnos insisten en pagarnos, aceptamos un donativo de máx. 10 € mensuales para colaborar en gastos de publicidad y de internet. Gracias 🙏","",""
"28.7986","-17.9499","EA","mercadillo artesano festivo y culinario - cada mes - la sonrisa - calle lomitos","",""
"","","DA","solve grow through conflicts partners patterns - love yourself","5min","evel-partnership"
